Event	ID	Name			Wwise Object Path	Notes
	118877035	vallabaja			\16532\vallabaja	
	369285956	ratdie			\14258\ratdie	
	1005958706	starup			\16532\starup	
	1268498129	imanup			\14258\imanup	
	1558471490	basurametal			\16532\basurametal	
	2103114554	dosup			\16532\dosup	
	2329400853	basuraverde			\16532\basuraverde	
	3271273223	valladoble			\16532\valladoble	
	3376098376	imanidle			\14258\imanidle	
	3551307733	vallaalta			\16532\vallaalta	
	3720716434	cono			\16532\cono	
	3889758431	rataviva			\14258\rataviva	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	111802474	Cono_Chocar_3	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Cono_Chocar_3_D7ADF005.wem		\Actor-Mixer Hierarchy\16532\Cono\Cono_Chocar_3		216160
	122771692	Dead_Rat	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Dead_Rat_D5BB352E.wem		\Actor-Mixer Hierarchy\14258\Dead_Rat		384160
	133830701	Valla_Alta_Chocar_1	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Valla_Alta_Chocar_1_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Valla_Alta\Valla_Alta_Chocar_1		137136
	140513487	Valla_Alta_Chocar_3	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Valla_Alta_Chocar_3_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Valla_Alta\Valla_Alta_Chocar_3		137136
	163917707	IMAN16	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\IMAN16_472D094B.wem		\Actor-Mixer Hierarchy\14258\IMAN16		2646096
	229889114	Valla_Doble_Chocar_3	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Valla_Doble_Chocar_3_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Valla_Doble\Valla_Doble_Chocar_3		224160
	248067410	Valla_Doble_Chocar_1	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Valla_Doble_Chocar_1_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Valla_Doble\Valla_Doble_Chocar_1		192160
	263604490	BasuraMetal_Chocar_2	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Basura metal 2_70BA5747.wem		\Actor-Mixer Hierarchy\16532\Basurero de metal\BasuraMetal_Chocar_2		169960
	312190690	Electricity, Buzz & Hum, Fluorecent Light, Steady SND7984 3	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Electricity, Buzz & Hum, Fluorecent Light, Steady SND7984 3_1D777866.wem		\Actor-Mixer Hierarchy\14258\Electricity, Buzz & Hum, Fluorecent Light, Steady SND7984 3		2880096
	374513752	Valla_Alta_Chocar_2	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Valla_Alta_Chocar_2_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Valla_Alta\Valla_Alta_Chocar_2		168476
	388422600	dos_up	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\dos_up_47141424.wem		\Actor-Mixer Hierarchy\16532\dos_up		1920160
	487927854	Basura_Verde_Chocar_1	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Basura_Verde_Chocar_1_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Basurero verde\Basura_Verde_Chocar_1		62960
	499893161	BasuraMetal_Chocar_1	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Basura metal 1_47A0BFF9.wem		\Actor-Mixer Hierarchy\16532\Basurero de metal\BasuraMetal_Chocar_1		143052
